
1,Advanced Java,Aptech computer education,1,1,Aptech computer,2001,,,*,ECED/DL/BOOK/SOFT/ACCP/ADVJAVA,SOFT-1,
2,"Developing E-Commerce Application with Site Server, Commerce Edition 3.0",Aptech computer education,1,1,Aptech computer,2000,**,,*,ECED/DL/BOOK/SOFT/ACCP/ECOM,SOFT-2,
3,Java Programming Language,Aptech computer education,1,1,Aptech computer,2001,,,*,ECED/DL/BOOK/SOFT/ACCP/JAVA,SOFT-3,
4,Object Oriented analysis and design with UML,Aptech computer education,,1,aptech computer edu,2002,,,*,ECED/DL/BOOK/SOFT/ACCP/NEWUML,SOFT-4,
5,Object Oriented Programming Fundamentals,Aptech computer education,1/2: 1 Ed 2001      2/2: 2 Ed 2001,2,Aptech computer,2001,,,*,"ECED/DL/BOOK/SOFT/ACCP/OOP-1,2/2",SOFT-5A,SOFT-5B
6,Object Oriented Analysis and Design with UML,Aptech computer education,1/2: 1 Ed 2000,1,Aptech computer,2001,,,*,ECED/DL/BOOK/SOFT/ACCP/UML-1/2,SOFT-6,
7,Designing websites with visual interdev,aptech comp education,1,1,aptech computer edu,2000,,,*,ECED/DL/BOOK/SOFT/ACCP/WEB,SOFT-7,
8,Principles of compiler design,A. V. Aho & J. D. Ullman,8th Reprint 1990,1,Narosa Publishing,1985,S. Desai,,*,ECED/DL/BOOK/SOFT/AHO,SOFT-8,
9,Object Oriented Programming with C++,E.Balagurusamy,3,1,Mc. Graw Hill,2006,KKI,,*,ECED/DL/BOOK/SOFT/BALA,SOFT-9,
10,Programming in ANSI C,E.Balagurusamy,3,1,Mc. Graw Hill,2004,KKI,,*,ECED/DL/BOOK/SOFT/BALAGURU,SOFT-10,
11,How to solve it by computer,R.G.Dromey,,1,PHI,,KKI,,*,ECED/DL/BOOK/SOFT/DROM,SOFT-11,
12,Schaum's outline series progamming with basic,B S Gottfried,3,1,Mc. Graw Hill,1986,**,,*,ECED/DL/BOOK/SOFT/GOT,SOFT-12,
13,Fundamentals of Programming languages,E. Horowitz,2,1,Galgotia publication,1990,Jwalant desai,,*,ECED/DL/BOOK/SOFT/HOR,SOFT-13,
14,Fundamentals of Programming with Fortran 77,N D Jotwani,1,1,Charotar publication,1990,K U Joshi,,*,ECED/DL/BOOK/SOFT/JOT,SOFT-14,
15,The C programming language,B W kernighan & D M ritchie,2,1,PHI,1988,Jwalant desai,,*,ECED/DL/BOOK/SOFT/KER,SOFT-15,
16,Software engineering,R Khurana,,1,Vikas publication,2003,,,*,ECED/DL/BOOK/SOFT/KHU,SOFT-16,
17,Database System Concepts,Henry F.Korth S.Sudarshan,6,1,Mc. Graw Hill,2011,,,*,ECED/DL/BOOK/SOFT/KOR,SOFT-17,
18,Linux Kemal Development,Love,3,1,Pearson,2011,,,*,ECED/DL/BOOk/SOFT/LOVE,SOFT-18,Rishabh
19,Introduction to languages and the theory of computation,J C Martin,,1,Mc. Graw Hill,1991,Neera Desai,,*,ECED/DL/BOOK/SOFT/MAR,SOFT-19,
20,Introduction to Computer Graphics,A Mukhopadhyay & A Chattopadhyay,**,1,Vikas publication,**,**,,*,ECED/DL/BOOK/SOFT/MUK,SOFT-20,
21,Structured COBOL,A S philippakis & L J Kazmier,3,1,Mc. Graw Hill,1986,**,,*,ECED/DL/BOOK/SOFT/PHI,SOFT-21,
22,Computer Oriented Numerical methods,R S Salaria,Reprint 2000,1,Khanna publication,1999,Rakesh,,*,ECED/DL/BOOK/SOFT/SAL,SOFT-22,
23,Priniples of web design,J Sklar,5th reprint 2004,1,Vikas publication,2000,**,,*,ECED/DL/BOOK/SOFT/SKL,SOFT-23,
24,Operating Systems - Design and Implementation,A S Tanenbaum,**,1,PHI,1987,**,,*,ECED/DL/BOOK/SOFT/TAN,SOFT-24,
,,,,25,,,,,,,,

1,Introduction to mechatronics and measurement systems,G. A. David & B. H. Michael,,1,TMH,4th print 2004,**,,*,ECED/DL/BOOK/ROB/ALC,ROB-1,PKS
2,Electronics insturmentation and measurement techniques,W D  Cooper & A D Helfrick,3,1,PHI,1989,BRT,*,,ECED/DL/BOOK/ROB/COO,ROB-2,PKS
3,"Robotics Control, Sensing, Vision, and Intelligence","K. S. Fu, R. C. Gonzalez, C. S. G. Lee",,1,McGraw-Hill,1987,,,*,ECED/DL/BOOK/ROB/FOU,ROB-3,
4,Electronics and Electrical measurements and Instrumentsation,J. B. Gupta,12,1,S.K. Kataria,2002,ADD,,*,ECED/DL/BOOK/ROB/GUP,ROB-4,PKS
5,"Mechatronics Principles, concepts and applications",N. P. Mahalik,**,1,TMH,**,**,,*,ECED/DL/BOOK/ROB/MAH,ROB-5,PKS
6,The robotics primer,M. J. Mataric,,1,THE Mit press,2007,JNS,,*,ECED/DL/BOOK/ROB/MAT,ROB-6,
7,Electronic test instruments analog and digital measurements,R A Witte,1,1,Pearson,2002,**,,*,ECED/DL/BOOK/ROB/WIT,ROB-7,
,,,,7,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,

1,Secrets of RF Circuit Design,J J Carr,3,1,TMH,2001,BRT,,*,ECED/DL/BOOK/RFC/CARR,RFC-1,,
2,Microwave Engineering,"A.Das, S.k. Das",15,2,Mc. Graw Hill,2000,KKI,*,,ECED/DL/BOOK/RFC/DAS,RFC-2A,RFC-2B,
3,RF circuit design- Theory and application,Ludwig & Bretchko,4,2,Pearson,2000,BRT,*,,ECED/DL/BOOK/RFC/LUD-1,RFC-3,,
4,RF circuit design- Theory and application,R Ludwig & G Bogdanov,4,1,Pearson,2009,BRT,,*,ECED/DL/BOOK/RFC/LUDBOG,RFC-4,,
5,,,,,,,,,,,RFC-5,,dummy no
6,Passive RF & Microwave Integrated circuits,L G Maloratsky,1,1,Elsevier,2004,BRT,,*,ECED/DL/BOOK/RFC/MAL,RFC-6,,
7,"Microwave filters, Impedance-Matching Networks and coupling structures",G Matthaei & L. Yound & E M T Jones,,1,Rtech House,1985,BRT,,*,ECED/DL/BOOK/RFC/MAT,RFC-7,,
8,Radio Frequency and microwave communication cirucits,D K Mishra,,1,John Willey,,BRT,,*,ECED/DL/BOOK/RFC/MIS,RFC-8,,
9,RF Mircoelectronics,B razavi,2,1,Pearson,2012,BRT,*,,ECED/DL/BOOK/RFC/RA,RFC-9,,KKI
